WHO_REGION,ISO_code,Cname,VaccineCode,Vaccine_Desc,Schedule,Entire_Part,Comment
EMR,AFG,Afghanistan,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
EMR,AFG,Afghanistan,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"6, 10, 14 weeks;",entire,
EMR,AFG,Afghanistan,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
EMR,AFG,Afghanistan,HPV,Human Papillomavirus vaccine,,,Planned introduction in November 2021
EMR,AFG,Afghanistan,IPV,Inactivated polio vaccine,14 weeks;,entire,
EMR,AFG,Afghanistan,Measles,Measles vaccine,"9, 18 months;",entire,
EMR,AFG,Afghanistan,OPV,Oral polio vaccine,"birth; 6, 10, 14 weeks; 9 months;",entire,
EMR,AFG,Afghanistan,Pneumo_conj,Pneumococcal conjugate vaccine,"6, 10, 14 weeks;",entire,
EMR,AFG,Afghanistan,Rotavirus,Rotavirus vaccine,"6, 10 weeks;",entire,
EMR,AFG,Afghanistan,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"1st contact; +1, +6 months, +1, +1 year;",entire,15-45 years (WCBA)
EUR,ALB,Albania,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
EUR,ALB,Albania,DT,Tetanus and diphtheria toxoid childrens' dose,6 years;,entire,
EUR,ALB,Albania,DTwP,Diphtheria and tetanus toxoid with whole cell pertussis vaccine,2 years;,entire,
EUR,ALB,Albania,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"2, 4, 6 months;",entire,
EUR,ALB,Albania,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
EUR,ALB,Albania,Influenza_Adult,Influenza adult dose vaccine,,entire,"and adults with chronic conditions, elderly >60 years with chronic conditions, pregnant women, healthcare workers, other risk groups"
EUR,ALB,Albania,Influenza_Pediatric,Influenza pediatric dose vaccine,2-5 years;,entire,and children with chronic conditions
EUR,ALB,Albania,IPV,Inactivated polio vaccine,"2, 4 months;",entire,
EUR,ALB,Albania,MMR,Measles mumps and rubella vaccine,"1, 5 years;",entire,
EUR,ALB,Albania,OPV,Oral polio vaccine,"6 months; 2, 6 years;",entire,
EUR,ALB,Albania,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 12 months;",entire,
EUR,ALB,Albania,Rotavirus,Rotavirus vaccine,"2, 4, 6, months;",entire,from October 2019
EUR,ALB,Albania,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"14, 18 years;",entire,
AFR,DZA,Algeria,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
AFR,DZA,Algeria,DT,Tetanus and diphtheria toxoid childrens' dose,6 years;,entire,
AFR,DZA,Algeria,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4, 12 months;",entire,from September 2019 - surviving infants in 2018
AFR,DZA,Algeria,DTwPHib,Diphtheria and tetanus toxoid with whole cell pertussis and Hib vaccine,"2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,HepB_Pediatric,Hepatitis B pediatric dose vaccine,"birth; 2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,Influenza_Adult,Influenza adult dose vaccine,elderly;,entire,"and with chronic illness, pregnant women, helath care workers, résidents vivant dans les établissements de soins, pèlerins ou autre voyageur, autrs groupes à risque"
AFR,DZA,Algeria,Influenza_Pediatric,Influenza pediatric dose vaccine,children;,entire,and with chronic illness
AFR,DZA,Algeria,IPV,Inactivated polio vaccine,3 months;,entire,surviving infants in 2018
AFR,DZA,Algeria,MMR,Measles mumps and rubella vaccine,"11, 18 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,MR,Measles and rubella vaccine,6 years;,entire,1st year primary school students
AFR,DZA,Algeria,OPV,Oral polio vaccine,"birth; 2, 4, 12 months; 6, 11-13 years;",entire,surviving infants in 2018 and 1st year school children
AFR,DZA,Algeria,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"11-13, 16-18 years;",entire,
EUR,AND,Andorra,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4, 12 months;",entire,
EUR,AND,Andorra,HPV,Human Papillomavirus vaccine,12 years; +6 months;,entire,females
EUR,AND,Andorra,Influenza_Adult,Influenza adult dose vaccine,=>65 years;,entire,"and adults with chronic conditions, pregnant women, healthcare workers, residents living in long-term care facilities, other risk groups"
EUR,AND,Andorra,Influenza_Pediatric,Influenza pediatric dose vaccine,,entire,children with chronic conditions
EUR,AND,Andorra,MenB,,"2, 4, 13 months;",entire,
EUR,AND,Andorra,MenC_conj,Meningococcal C conjugate vaccine,"4, 15 months; 12 years;",entire,
EUR,AND,Andorra,MMR,Measles mumps and rubella vaccine,12 months; 3 years;,entire,
EUR,AND,Andorra,Pneumo_conj,Pneumococcal conjugate vaccine,"3, 5, 13 months;",entire,
EUR,AND,Andorra,TdaPIPV,Tetanus and diphtheria toxoid with acellular pertussis and IPV vaccines,"5, 15 years;",entire,
EUR,AND,Andorra,Varicella,Varicella vaccine,15 months; 3 years;,entire,
AFR,AGO,Angola,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,0-11 months
AFR,AGO,Angola,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"2, 4, 6 months;",entire,0-11 months
AFR,AGO,Angola,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,0-7 days
AFR,AGO,Angola,IPV,Inactivated polio vaccine,4 months;,entire,0-11 months
AFR,AGO,Angola,MR,Measles and rubella vaccine,"9, 15 months;",entire,
AFR,AGO,Angola,OPV,Oral polio vaccine,"birth; 2, 4, 6 months;",entire,0-11 months
AFR,AGO,Angola,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 6 months;",entire,0-11 months
AFR,AGO,Angola,Rotavirus,Rotavirus vaccine,"2, 4 months;",entire,
AFR,AGO,Angola,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"1st contact pregnancy; +1, +6 months; +1, +1 years;",entire,pregnant women
AFR,AGO,Angola,TT,Tetanus toxoid vaccine,15-49 years;,entire,
AFR,AGO,Angola,VitaminA,Vitamin A supplementation,"6, 9 months;",entire,
AFR,AGO,Angola,YF,Yellow fever vaccine,9 months;,entire,
AMR,ATG,Antigua and Barbuda,DT,Tetanus and diphtheria toxoid childrens' dose,5 years;,entire,
AMR,ATG,Antigua and Barbuda,DTwP,Diphtheria and tetanus toxoid with whole cell pertussis vaccine,18 months;,entire,
AMR,ATG,Antigua and Barbuda,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"2, 4, 6 months;",entire,
AMR,ATG,Antigua and Barbuda,HepB_Adult,Hepatitis B adult dose vaccine,1st contact; +1 +6 months; +5 years;,entire,high-risk groups
AMR,ATG,Antigua and Barbuda,HepB_Pediatric,Hepatitis B pediatric dose vaccine,1st contact; +1 +6 months;,entire,unvaccinated children
AMR,ATG,Antigua and Barbuda,HPV,Human Papillomavirus vaccine,9-13 years; +6 months;,entire,"females and males; aged 9-13 years x2 doses, aged 14-26 years x3 doses"
AMR,ATG,Antigua and Barbuda,Influenza_Adult,Influenza adult dose vaccine,>18 years;,entire,"and adults with chronic conditions, older persons >60 years, healthcare workers, residents living in long-term care facilities, Hajj and other travellers, other risk groups"
AMR,ATG,Antigua and Barbuda,Influenza_Pediatric,Influenza pediatric dose vaccine,>6 months;,entire,and children with chronic conditions
AMR,ATG,Antigua and Barbuda,IPV,Inactivated polio vaccine,"2, 4 months;",entire,
AMR,ATG,Antigua and Barbuda,MMR,Measles mumps and rubella vaccine,"12, 18 months;",entire,
AMR,ATG,Antigua and Barbuda,OPV,Oral polio vaccine,"6, 18 months, 5, 15, years;",entire,
AMR,ATG,Antigua and Barbuda,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 6 months;",entire,risk groups
AMR,ATG,Antigua and Barbuda,Pneumo_ps,Pneumococcal polysaccharide vaccine,>=2 years;,entire,risk groups
AMR,ATG,Antigua and Barbuda,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,15 years;,entire,"and pregnant women and older persons upon 1st contact, +6 weeks, +6 months"
AMR,ATG,Antigua and Barbuda,Varicella,Varicella vaccine,3-5 years;,entire,
AMR,ATG,Antigua and Barbuda,YF,Yellow fever vaccine,1st contact;,entire,travellers to endemic areas
AMR,ARG,Argentina,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
AMR,ARG,Argentina,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4, 6 months;",entire,preterm newborns weighing less than 1500 grams at birth and <6 months
AMR,ARG,Argentina,DTwP,Diphtheria and tetanus toxoid with whole cell pertussis vaccine,6 years;,entire,
AMR,ARG,Argentina,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"2, 4, 6, 15-18 months;",entire,
AMR,ARG,Argentina,HepA_Adult,Hepatitis A adult dose vaccine,,entire,"special indications: MSM, patients with coagulation disorders, chronic liver disease, work with the HAV in laboratories, culinary staff, nursery staff who assist children under one year of age, travellers to high or medium endemic areas"
AMR,ARG,Argentina,HepA_Pediatric,Hepatitis A pediatric dose vaccine,12 months;,entire,
AMR,ARG,Argentina,HepB_Adult,Hepatitis B adult dose vaccine,"1st contact; +1, +6 months;",entire,"Special indications: MSM, patients with bleeding disorders, chronic liver disease, work with HAV in laboratories, gastronomic staff, nursery school staff caring for children under one year of age."
AMR,ARG,Argentina,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
AMR,ARG,Argentina,HIB,Haemophilus influenzae type b vaccine,,entire,special cases
AMR,ARG,Argentina,HPV,Human Papillomavirus vaccine,11 years; +6 months;,entire,females and males; females born after 2000 and males born after 2006
AMR,ARG,Argentina,Influenza_Adult,Influenza adult dose vaccine,>65 years;,entire,"and adults with chronic conditions, pregnant women, healthcare workers, residents living in long-term care facilities, other risk groups"
AMR,ARG,Argentina,Influenza_Pediatric,Influenza pediatric dose vaccine,6-24 months;,entire,and children with chronic conditions
AMR,ARG,Argentina,IPV,Inactivated polio vaccine,"2, 4 months;",entire,
AMR,ARG,Argentina,MenACWY-135 conj,Meningococcal ACWY-135 conjugate vaccine,"3, 5, 15 months; 11 years;",entire,
AMR,ARG,Argentina,MMR,Measles mumps and rubella vaccine,"1, 6 years;",entire,and Y11 if not yet vaccinated
AMR,ARG,Argentina,MR,Measles and rubella vaccine,,entire,Postpartum. Adults and children of populations selected for intensified vaccination activities to contain the measles outbreak.
AMR,ARG,Argentina,OPV,Oral polio vaccine,"6, 15-18 months; 6 years;",entire,
AMR,ARG,Argentina,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 12 months;",entire,and part of sequential scheme for risk groups
AMR,ARG,Argentina,Pneumo_ps,Pneumococcal polysaccharide vaccine,>65 years;,entire,Also as part of the sequential scheme with PC13V for risk groups
AMR,ARG,Argentina,Rabies,Rabies vaccine,,entire,pre-exposure prophylaxis for people working with the virus in the laboratory (0-7 scheme); prophylaxis-post-exposure treatment against rabies (0-0-7-21 scheme)
AMR,ARG,Argentina,Rotavirus,Rotavirus vaccine,"2, 4 months;",entire,
AMR,ARG,Argentina,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"1st contact, +1, +6-12 months;",entire,"adults who do not complete full scheme in childhood; if a complete scheme is accredited, a DT reinforcement is applied every 10 years"
AMR,ARG,Argentina,Tdap,Tetanus and diphtheria toxoids and acellular pertussis vaccine,11 years;,entire,pregnant women from week 20 of pregnancy; healthcare workers who care for children under 12 months of age with revaccination every 5 years
AMR,ARG,Argentina,Varicella,Varicella vaccine,15 months;,entire,Also part of the strategy for special guests
AMR,ARG,Argentina,YF,Yellow fever vaccine,18 months; 11 years;,part,"populations in risk zones, travellers to risk zones"
AMR,ARG,Argentina,Zoster,Varicella vaccine,,entire,"for prophylaxis against people exposed to varicella virus
for prophylaxis against people exposed to varicella virus
for prophylaxis against people exposed to varicella virus"
EUR,ARM,Armenia,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
EUR,ARM,Armenia,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine",18 months;,entire,
EUR,ARM,Armenia,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"6, 12, 18 weeks;",entire,
EUR,ARM,Armenia,HepA_Adult,Hepatitis A adult dose vaccine,"17, 18 years;",entire,males only
EUR,ARM,Armenia,HepB_Adult,Hepatitis B adult dose vaccine,,entire,risk groups
EUR,ARM,Armenia,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
EUR,ARM,Armenia,HPV,Human Papillomavirus vaccine,13 years; +6 months;,entire,"females only at Y13 x2 doses; and Y15-Y45 females and males x3 doses at 1st contact, +2M, +6M"
EUR,ARM,Armenia,Influenza_Adult,Influenza adult dose vaccine,>=65 years;,entire,"and adults with chronic conditions, pregnant women, healthcare workers, residents living in long-term care facilities, other risk groups"
EUR,ARM,Armenia,Influenza_Pediatric,Influenza pediatric dose vaccine,6 months to 5 years;,entire,children with chronic conditions
EUR,ARM,Armenia,IPV,Inactivated polio vaccine,24 weeks;,entire,
EUR,ARM,Armenia,MenACWY-135 conj,Meningococcal ACWY-135 conjugate vaccine,17-18 years;,entire,males only
EUR,ARM,Armenia,MMR,Measles mumps and rubella vaccine,"1, 6 years;",entire,and 3rd dose at Y17-Y18 for young men not having received 2 doses
EUR,ARM,Armenia,OPV,Oral polio vaccine,"6, 12, 18 weeks;",entire,
EUR,ARM,Armenia,Pneumo_conj,Pneumococcal conjugate vaccine,"6, 12, 18 weeks; 17-18 years;",entire,4th dose only for young men
EUR,ARM,Armenia,Rabies,Rabies vaccine,,entire,risk groups
EUR,ARM,Armenia,Rotavirus,Rotavirus vaccine,"6, 12 weeks;",entire,
EUR,ARM,Armenia,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"6, 15-16, 26-30, 36-40, 46-50, 56-60 years;",entire,
EUR,ARM,Armenia,Tularemia,Tularemia vaccine,17-18 years;,entire,males only
WPR,AUS,Australia,DTaP,Diphtheria and tetanus toxoid with acellular pertussis vaccine,18 months;,entire,
WPR,AUS,Australia,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4, 6 months;",entire,
WPR,AUS,Australia,DTaPIPV,"Diphtheria and tetanus toxoid with acellular pertussis, and IPV vaccine",4 years;,entire,
WPR,AUS,Australia,HepA_Pediatric,Hepatitis A pediatric dose vaccine,"12, 18 months;",part,"Aboriginal and Torres Strait Islander people in QLD, NT, WA and SA"
WPR,AUS,Australia,HepB_Adult,Hepatitis B adult dose vaccine,10-19 years;,entire,"10-19 year olds for catch-up vaccination, and >=Y19 for refugee and humanitarian entrants"
WPR,AUS,Australia,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
WPR,AUS,Australia,HIB,Haemophilus influenzae type b vaccine,18 months;,entire,
WPR,AUS,Australia,HPV,Human Papillomavirus vaccine,12-13 years (x2);,entire,"Year 7 and year 8 school children, both male and female"
WPR,AUS,Australia,Influenza_Adult,Influenza adult dose vaccine,>=65 years;,entire,"and chronic conditions, pregnant women, residents living in long-term care facilities, travellers, other risk groups"
WPR,AUS,Australia,Influenza_Pediatric,Influenza pediatric dose vaccine,>=6 months;,entire,children with chronic conditions and other groups medically at risk
WPR,AUS,Australia,IPV,Inactivated polio vaccine,,entire,catch-up vaccination for those who have missed vaccines
WPR,AUS,Australia,MenACWY-135 conj,Meningococcal ACWY-135 conjugate vaccine,12 months; 14-16 years;,entire,
WPR,AUS,Australia,MMR,Measles mumps and rubella vaccine,12 months;,entire,
WPR,AUS,Australia,MMRV,"Measles, mumps, rubella and varicella vaccine",18 months;,entire,
WPR,AUS,Australia,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 12 months;",entire,"and at M6 for Aboriginal and Torres Strait Islander children in four regions (Queensland, Northern Territory, Western Australia and South Australia), and all children medically at risk"
WPR,AUS,Australia,Pneumo_ps,Pneumococcal polysaccharide vaccine,>=65 years;,entire,and Y4 medically at risk; Y15-49 Aboriginal and Torres Strait Islander people who are medically at risk; Y50+ Aboriginal and Torres Strait Islander people
WPR,AUS,Australia,Rotavirus,Rotavirus vaccine,"2, 4 months;",entire,
WPR,AUS,Australia,Tdap,Tetanus and diphtheria toxoids and acellular pertussis vaccine,12-13 years;,entire,and pregnant women
WPR,AUS,Australia,Varicella,Varicella vaccine,,entire,catch-up vaccination for those who have missed vaccines
WPR,AUS,Australia,Zoster,Varicella vaccine,70 years;,entire,and includes time limited catch up program for 71-79 year olds until 2021
EUR,AUT,Austria,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4, 11 months;",entire,
EUR,AUT,Austria,HepB_Pediatric,Hepatitis B pediatric dose vaccine,12 years;,entire,and free catch up until Y14
EUR,AUT,Austria,HPV,Human Papillomavirus vaccine,9 years; +6 months;,entire,females and males
EUR,AUT,Austria,Influenza_Adult,Influenza adult dose vaccine,,entire,"and adults with chronic conditions, elderly, prenant women, healthcare workers, residents living in long-term care facilities, Hajj or other travelllers, other risk groups"
EUR,AUT,Austria,Influenza_Pediatric,Influenza pediatric dose vaccine,>=6 months;,entire,and children with chronic conditions
EUR,AUT,Austria,MenACWY-135 conj,Meningococcal ACWY-135 conjugate vaccine,12 years;,entire,
EUR,AUT,Austria,MMR,Measles mumps and rubella vaccine,9 months; +1 months;,entire,and catch-up for everybody regardless of age
EUR,AUT,Austria,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 11 months;",entire,
EUR,AUT,Austria,Rotavirus,Rotavirus vaccine,"6, 10, 14 weeks;",entire,
EUR,AUT,Austria,TdaPIPV,Tetanus and diphtheria toxoid with acellular pertussis and IPV vaccines,6 years;,entire,
EUR,AZE,Azerbaijan,BCG,Bacille Calmette-Guérin vaccine,4-7 days;,entire,
EUR,AZE,Azerbaijan,DT,Tetanus and diphtheria toxoid childrens' dose,6 years;,entire,
EUR,AZE,Azerbaijan,DTwP,Diphtheria and tetanus toxoid with whole cell pertussis vaccine,18 months;,entire,
EUR,AZE,Azerbaijan,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"2, 3, 4 months;",entire,
EUR,AZE,Azerbaijan,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
EUR,AZE,Azerbaijan,IPV,Inactivated polio vaccine,6 months;,entire,
EUR,AZE,Azerbaijan,MMR,Measles mumps and rubella vaccine,12 months; 6 years;,entire,
EUR,AZE,Azerbaijan,MR,Measles and rubella vaccine,20-40 years;,entire,outbreak response
EUR,AZE,Azerbaijan,OPV,Oral polio vaccine,"4-7 days; 2, 3, 4, 18 months;",entire,
EUR,AZE,Azerbaijan,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 6 months;",entire,
EUR,AZE,Azerbaijan,VitaminA,Vitamin A supplementation,"12, 18 months;",entire,
AMR,BHS,Bahamas,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4, 6 months;",part,private sector
AMR,BHS,Bahamas,DTwP,Diphtheria and tetanus toxoid with whole cell pertussis vaccine,4-5 years;,entire,
AMR,BHS,Bahamas,DTwPHib,Diphtheria and tetanus toxoid with whole cell pertussis and Hib vaccine,15 months;,entire,
AMR,BHS,Bahamas,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"2, 4, 6 months;",entire,
AMR,BHS,Bahamas,HepA_Adult,Hepatitis A adult dose vaccine,1st contact; +6 months;,entire,travellers
AMR,BHS,Bahamas,HepA_Pediatric,Hepatitis A pediatric dose vaccine,1st contact; +6 months;,entire,travellers
AMR,BHS,Bahamas,HepB_Adult,Hepatitis B adult dose vaccine,"1st contact, +1, +5 months;",entire,
AMR,BHS,Bahamas,HepB_Pediatric,Hepatitis B pediatric dose vaccine,"1st contact, +1, +5 months;",entire,
AMR,BHS,Bahamas,HPV,Human Papillomavirus vaccine,"1st contact; +1-2, +6 months;",entire,females and males
AMR,BHS,Bahamas,Influenza_Adult,Influenza adult dose vaccine,>18 years,entire,"and older persons, pregnant women, healthcare workers, residents living in long-term care facilities"
AMR,BHS,Bahamas,Influenza_Pediatric,Influenza pediatric dose vaccine,>6 months;,entire,
AMR,BHS,Bahamas,IPV,Inactivated polio vaccine,"2, 4, 6 months;",entire,
AMR,BHS,Bahamas,MenACWY-135 conj,Meningococcal ACWY-135 conjugate vaccine,1st contact;,part,college students of New Providence and some Family Islands
AMR,BHS,Bahamas,MMR,Measles mumps and rubella vaccine,12 months; 4-5 years;,entire,
AMR,BHS,Bahamas,OPV,Oral polio vaccine,6 months; 4-5 years;,entire,
AMR,BHS,Bahamas,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 6, 15 months;",entire,
AMR,BHS,Bahamas,Pneumo_ps,Pneumococcal polysaccharide vaccine,,entire,"risk groups, older persons"
AMR,BHS,Bahamas,Rotavirus,Rotavirus vaccine,"2, 4 months;",entire,
AMR,BHS,Bahamas,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,>10 years;,entire,every 10 years
AMR,BHS,Bahamas,Tdap,Tetanus and diphtheria toxoids and acellular pertussis vaccine,12 years;,entire,and at 1st contact for antenatal women
AMR,BHS,Bahamas,Varicella,Varicella vaccine,12 months; 4-5 years;,entire,
AMR,BHS,Bahamas,YF,Yellow fever vaccine,1st contact;,entire,travellers
EMR,BHR,Bahrain,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,infants born to parents (or other household close contact) originally from TB endemic areas and with current smears positive of pulmonary TB
EMR,BHR,Bahrain,CHOLERA,Cholera vaccine,,entire,given in certain emergency situations for relief workers (military workers travelling to at risk countries)
EMR,BHR,Bahrain,DT,Tetanus and diphtheria toxoid childrens' dose,"2, 4, 6, 18 months; 4 years;",entire,children with contraindications or allergic to Pertussis componant of the vaccine
EMR,BHR,Bahrain,DTaPHibHepBIPV,"Hexavalent diphtheria, tetanus toxoid with acellular pertussis, Hib, hepatitis B and IPV vaccine","2, 4 months;",entire,
EMR,BHR,Bahrain,DTaPIPV,"Diphtheria and tetanus toxoid with acellular pertussis, and IPV vaccine",4-5 years;,entire,
EMR,BHR,Bahrain,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"6, 18 months;",entire,
EMR,BHR,Bahrain,HepA_Adult,Hepatitis A adult dose vaccine,x2 doses;,entire,"high risk groups, certain occupations at risk, travellers"
EMR,BHR,Bahrain,HepA_Pediatric,Hepatitis A pediatric dose vaccine,15 months; 2 years;,entire,and completion of 2 doses of HepA vaccine checked for school students at 12 and 13 years as last school catch-up campaign done in 2016/17 acadmeic year
EMR,BHR,Bahrain,HepB_Adult,Hepatitis B adult dose vaccine,x3 doses;,entire,"high risk groups, certain occupations at risk including HCW, college students"
EMR,BHR,Bahrain,HepB_Pediatric,Hepatitis B pediatric dose vaccine,birth;,entire,
EMR,BHR,Bahrain,HIB,Haemophilus influenzae type b vaccine,5 years;,entire,"given as single dose for >5 years children with sickle cell disease, anatomical and/or surgical asplenia, post bone marrow transplant, certain cancer after finishing treatment"
EMR,BHR,Bahrain,HPV,Human Papillomavirus vaccine,<15 years (x2 doses);,,only available in private sector; for females and males
EMR,BHR,Bahrain,Influenza_Adult,Influenza adult dose vaccine,>19 years;,entire,"and adults with chronic conditions, older persons, pregnant women, healthcare workers, residents living in long-term care facilities, Haj or other travellers, other risk groups"
EMR,BHR,Bahrain,Influenza_Pediatric,Influenza pediatric dose vaccine,"<=9, 10-19 years;",entire,and children with chronic illness
EMR,BHR,Bahrain,IPV,Inactivated polio vaccine,"2, 4, 6, 18 months; 5 years;",entire,immunocompromized and their households
EMR,BHR,Bahrain,MenACWY-135 conj,Meningococcal ACWY-135 conjugate vaccine,2 years;,entire,"and high risk groups, HCWs, travellers to high-risk countries/areas"
EMR,BHR,Bahrain,MMR,Measles mumps and rubella vaccine,"12, 18 months;",entire,"and non-immune women at reproductive age discovered during premarital counselling, postnatally for non-immune women discovered during antenatal screening, those discovered during preschool screening, identified in residency blocks, HCWs, travellers"
EMR,BHR,Bahrain,OPV,Oral polio vaccine,"4, 6, 18 months; 5 years;",entire,and travellers to polio endemic countries
EMR,BHR,Bahrain,Pneumo_conj,Pneumococcal conjugate vaccine,"2, 4, 15 months;",entire,"and an additional dose at 6 months for certain high-risk groups, single dose for adults at >=50 years and for high risk groups at age 5-50 years if unvaccinated before"
EMR,BHR,Bahrain,Pneumo_ps,Pneumococcal polysaccharide vaccine,>=65 years;,entire,and high risk groups from age of 2 years and above as a single dose and for certain risk categories revaccination dose after 5 years
EMR,BHR,Bahrain,Rotavirus,Rotavirus vaccine,"2, 4 months;",entire,
EMR,BHR,Bahrain,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,>=7 years;,entire,"pregnant women, post trauma, certain occupations at risk, others at risk of exposure"
EMR,BHR,Bahrain,Tdap,Tetanus and diphtheria toxoids and acellular pertussis vaccine,13 years;,entire,"school students vaccination, elderly and others at risk"
EMR,BHR,Bahrain,Typhoid_ps,Typhoid fever polysaccharide vaccine,>=2 years;,entire,"travellers, certain at risk groups"
EMR,BHR,Bahrain,Varicella,Varicella vaccine,"1, 3 years;",entire,"and high risk groups including HCW at direct patient care, household of oncology patient, others"
EMR,BHR,Bahrain,YF,Yellow fever vaccine,,entire,travellers to YF endemic areas
SEAR,BGD,Bangladesh,BCG,Bacille Calmette-Guérin vaccine,birth;,entire,
SEAR,BGD,Bangladesh,DTwPHibHepB,Diphtheria and Tetanus and Pertussis and Haemophilus influenzae and Hepatitis B vaccine,"6, 10, 14 weeks;",entire,
SEAR,BGD,Bangladesh,HPV,Human Papillomavirus vaccine,10 years; +6 months;,entire,Planned introduction for females 10 year old routine immunization and 11-14 year for MAC in March 2022
SEAR,BGD,Bangladesh,IPV,Inactivated polio vaccine,"6, 14 weeks;",entire,fractional dose
SEAR,BGD,Bangladesh,JE_LiveAtd,Japanese encephalitis live vaccine,>=15 years;,,
SEAR,BGD,Bangladesh,MR,Measles and rubella vaccine,38 weeks; 15 months,entire,
SEAR,BGD,Bangladesh,OPV,Oral polio vaccine,"6, 10, 14 weeks;",entire,
SEAR,BGD,Bangladesh,Pneumo_conj,Pneumococcal conjugate vaccine,"6, 10, 14 weeks;",entire,
SEAR,BGD,Bangladesh,Rotavirus,Rotavirus vaccine,"6, 10 weeks",entire,Planned introduction but date not yet decided
SEAR,BGD,Bangladesh,Td,Tetanus and diphtheria toxoid for older children / adults vaccube,"15-49 years; +1, +6 months; +1, +1 years;",entire,Women 15-49 years
SEAR,BGD,Bangladesh,VitaminA,Vitamin A supplementation,6-59 months;,entire,
AMR,BRB,Barbados,BCG,Bacille Calmette-Guérin vaccine,9 months;,entire,infants of parents that travel to countries with a high burden of tuberculosis
AMR,BRB,Barbados,DT,Tetanus and diphtheria toxoid childrens' dose,5-7 years;,entire,children who did not receive DTP before 4.5 years
