unicef_region,country_iso3,country,vaccine,year,immunization_coverage,antigen_family,gdp_per_capita_usd,health_exp_pct_gdp,population_total,gni_per_capita_usd,gavi_eligible,pharma_tariff_rate,reporter_flag,oop_health_exp_pct,tariff_x_oop
Non-programme,NOR,Norway,PCV3,2021,96,PCV,93072.89251,9.8142643,5408320,81770,0,0.40411389256736896,1,13.85256004,0.05598012
MENA,OMN,Oman,PCV3,2021,99,PCV,19403.46002,4.34468651,4500424,17910,0,2.5195195195195197,1,5.46900749,0.13779271123453454
EAPR,PLW,Palau,PCV3,2021,77,PCV,13009.24816,14.55276012,17783,13770,0,5.287822878228782,1,16.08006477,0.8502853437420664
LACR,PAN,Panama,PCV3,2021,87,PCV,15509.80691,9.13571072,4345405,14920,0,3.584166503,1,37.33168793,1.338029853967013
LACR,PRY,Paraguay,PCV3,2021,62,PCV,5976.931798,8.03277016,6684182,5740,0,5.742141281589007,1,35.93767929,2.0635923181561533
LACR,PER,Peru,PCV3,2021,75,PCV,6826.202556,6.67309427,33155882,6550,0,1.9638398002441793,1,25.10678101,0.4930569580345275
Non-programme,POL,Poland,PCV3,2021,88,PCV,18635.51049,6.3654809,36981559,17470,0,1.1700902346512216,1,19.84747887,0.23223341208233464
Non-programme,PRT,Portugal,PCV3,2021,98,PCV,24711.45101,11.22031498,10361831,23980,0,0.7831597972023087,1,29.11856651,0.2280449064279354
MENA,QAT,Qatar,PCV3,2021,98,PCV,71751.93634,2.8927927,2504910,66970,0,3.2440711091739014,1,6.55757952,0.2127325426694246
Non-programme,KOR,Republic of Korea,PCV3,2021,97,PCV,37518.46353,8.34412766,51769539,37450,0,2.645636000154941,1,29.71744347,0.7862153827680137
ECAR,MDA,Republic of Moldova,PCV3,2021,78,PCV,5274.605822,7.7490406,2595809,5270,0,3.2498532542372884,1,29.41590118,0.955973622
ECAR,ROU,Romania,PCV3,2021,85,PCV,14907.98037,6.45246983,19122059,14180,0,0.5810155096985583,1,20.94245529,0.1216789133465862
Non-programme,RUS,Russian Federation,PCV3,2021,89,PCV,12425.0293,7.0299139,144746762,11710,0,4.433683932988475,1,28.73763466,1.2741358906413474
EAPR,WSM,Samoa,PCV3,2021,3,PCV,4021.559349,7.19651461,213779,3990,0,9.812004530011325,1,12.33913803,1.2107167824679503
MENA,SAU,Saudi Arabia,PCV3,2021,97,PCV,31920.76537,5.93033648,30784383,30480,0,3.758285461776403,1,10.15629482,0.38170255167520994
ECAR,SRB,Serbia,PCV3,2021,89,PCV,9680.527981,9.23441029,6834326,8890,0,0.9216153000254323,1,32.92689133,0.3034592683200275
Non-programme,SGP,Singapore,PCV3,2021,88,PCV,80056.12882,5.14599705,5453566,65010,0,0,1,23.46938705,0
Non-programme,SVK,Slovakia,PCV3,2021,97,PCV,22123.33421,7.62857914,5447247,21010,0,0.9774812082181059,1,19.40410614,0.1896714911411957
Non-programme,SVN,Slovenia,PCV3,2021,58,PCV,29192.84019,9.52724361,2108079,28320,0,0.5912411286853615,1,12.8761549,0.076129124
EAPR,SLB,Solomon Islands,PCV3,2021,86,PCV,2043.444132,4.94795895,762591,2120,0,7.460950251741294,1,3.63614464,0.2712909426717576
ESAR,ZAF,South Africa,PCV3,2021,86,PCV,6828.756246,8.6645031,61502603,6320,0,1.7702496479454375,1,6.61017942,0.11701667791111175
Non-programme,ESP,Spain,PCV3,2021,93,PCV,30799.47759,10.34419918,47443821,30380,0,1.171998627,1,21.30355072,0.24967732200466583
MENA,PSE,State of Palestine,PCV3,2021,95,PCV,3678.635657,10.4347353,4922749,4270,0,1.1817139008324662,1,33.39273071,0.3946065406676219
Non-programme,SWE,Sweden,PCV3,2021,97,PCV,60647.54164,11.23013592,10415811,59840,0,0.8923799087851905,1,13.09276485,0.11683720302588949
Non-programme,CHE,Switzerland,PCV3,2021,88,PCV,93664.77367,11.95855618,8704546,89120,0,0.38661081170637485,1,21.35904694,0.082576385
MENA,TUN,Tunisia,PCV3,2021,96,PCV,3906.939263,7.34183979,12048622,3640,0,1.8217086612502074,1,37.21665955,0.6779791104503525
