unicef_region,country_iso3,country,vaccine,year,immunization_coverage,antigen_family,gdp_per_capita_usd,health_exp_pct_gdp,population_total,gni_per_capita_usd,gavi_eligible,pharma_tariff_rate,reporter_flag,oop_health_exp_pct,tariff_x_oop
Non-programme,SVK,Slovakia,PCV3,2010,99,PCV,16899.44868,7.67065239,5391428,17600,0,0.9774812082181059,1,22.8006134,0.22287171134345937
ESAR,ZAF,South Africa,PCV3,2010,58,PCV,7973.471958,7.79358244,52344051,6730,0,1.7702496479454375,1,7.99506283,0.14153257160109153
Non-programme,SWE,Sweden,PCV3,2010,98,PCV,52542.57591,8.32384682,9378126,54380,0,0.8923799087851905,1,16.50847054,0.14731827434668204
Non-programme,CHE,Switzerland,PCV3,2010,37,PCV,76531.37294,9.9907856,7824909,79040,0,0.38661081170637485,1,24.06636429,0.093043166
ECAR,TUR,Turkiye,PCV3,2010,93,PCV,10698.96994,5.02053452,73142150,10460,0,1.368112319117503,1,16.87221718,0.23083088174783978
MENA,ARE,United Arab Emirates,PCV3,2010,94,PCV,44795.29493,3.74433136,6869838,42380,0,3.882396427,1,17.94574356,0.6967249067839942
Non-programme,GBR,United Kingdom,PCV3,2010,89,PCV,39778.32205,9.78799534,62766365,42010,0,1.2518664641090063,1,13.17372036,0.16491738726234026
Non-programme,USA,United States,PCV3,2010,93,PCV,48642.61002,16.19722366,309378227,49180,0,1.8719826154206398,1,12.36788654,0.2315246859237493
LACR,URY,Uruguay,PCV3,2010,91,PCV,12641.05768,7.87757301,3318580,10930,0,6.536230507959228,1,20.47283554,1.3381517224097994
Non-programme,AUS,Australia,PCV3,2009,91,PCV,42954.84949,8.54273987,21691653,44230,0,1.3823898003559114,1,19.05284309,0.26338455955397605
MENA,BHR,Bahrain,PCV3,2009,96,PCV,19465.31407,4.15054226,1178415,18940,0,3.228203960846802,1,26.58000565,0.8580567951866037
Non-programme,CAN,Canada,PCV3,2009,50,PCV,40874.88319,10.70402527,33630069,43230,0,1.3837138797223811,1,15.17220497,0.20993990602981893
LACR,CRI,Costa Rica,PCV3,2009,48,PCV,6832.698299,7.86019182,4499791,6570,0,1.4924207518341044,1,26.40225029,0.394032662
Non-programme,DNK,Denmark,PCV3,2009,86,PCV,58412.74724,10.62873173,5523095,60300,0,0.68683427,1,13.6846056,0.093990561
Non-programme,DEU,Germany,PCV3,2009,84,PCV,42471.88686,10.97003078,81902307,44470,0,1.3040107735751743,1,13.26327801,0.17295457417962698
Non-programme,ITA,Italy,PCV3,2009,66,PCV,37099.6134,8.91290951,59555454,37830,0,0.968475191,1,20.66364479,0.20012227336662503
MENA,KWT,Kuwait,PCV3,2009,99,PCV,37907.10013,2.70638776,2795484,45410,0,3.508299244854993,1,16.72038269,0.58660106
Non-programme,LUX,Luxembourg,PCV3,2009,86,PCV,109419.747,6.94993162,497783,70650,0,0.6898494322645855,1,9.8952837,0.068262558
LACR,MEX,Mexico,PCV3,2009,46,PCV,8423.569332,5.84786463,111999721,9230,0,1.1155175973927363,1,47.35383987,0.5282404167910276
Non-programme,NLD,Netherlands (Kingdom of the),PCV3,2009,96,PCV,53172.02616,9.90839005,16530388,52780,0,1.0020942107344395,1,9.06950665,0.090885001
Non-programme,NZL,New Zealand,PCV3,2009,87,PCV,28276.72554,9.13566399,4302600,29770,0,0.7459302352315851,1,12.04275227,0.08983053
Non-programme,NOR,Norway,PCV3,2009,91,PCV,80347.57007,9.03254128,4828726,88130,0,0.40411389256736896,1,15.25448322,0.061645486
MENA,OMN,Oman,PCV3,2009,96,PCV,20655.91802,2.4694581,2684659,22010,0,2.5195195195195197,1,11.49723816,0.28967515964684687
EAPR,PLW,Palau,PCV3,2009,18,PCV,10147.77411,9.63057423,18709,10090,0,5.287822878228782,1,19.58942032,1.0358538493933578
LACR,PER,Peru,PCV3,2009,9,PCV,4181.187555,4.95976877,28896811,3950,0,1.9638398002441793,1,40.27733994,0.790982432
MENA,QAT,Qatar,PCV3,2009,99,PCV,60785.73516,2.38356304,1608903,63010,0,3.2440711091739014,1,19.3805542,0.6287189595999891
MENA,SAU,Saudi Arabia,PCV3,2009,98,PCV,17718.39116,4.29042768,24217654,19810,0,3.758285461776403,1,18.35076332,0.6896740699805568
Non-programme,SGP,Singapore,PCV3,2009,17,PCV,38926.80544,3.39370513,4987573,37320,0,0,1,43.34909058,0
Non-programme,SVK,Slovakia,PCV3,2009,99,PCV,16586.75278,7.95280409,5386406,17120,0,0.9774812082181059,1,22.41773987,0.21912919453646804
ESAR,ZAF,South Africa,PCV3,2009,10,PCV,6374.7056,7.64941454,51728516,6350,0,1.7702496479454375,1,8.10977173,0.14356320549950363
Non-programme,SWE,Sweden,PCV3,2009,98,PCV,46707.6425,8.77742958,9298515,52390,0,0.8923799087851905,1,16.56481934,0.1478211197167236
Non-programme,CHE,Switzerland,PCV3,2009,25,PCV,71568.31239,10.1415062,7743831,71800,0,0.38661081170637485,1,26.20129585,0.10129704256327371
ECAR,TUR,Turkiye,PCV3,2009,97,PCV,9076.924722,5.49438715,72039206,9610,0,1.368112319117503,1,14.5079031,0.19848440955673013
Non-programme,USA,United States,PCV3,2009,93,PCV,47194.94335,16.20067596,306771529,47910,0,1.8719826154206398,1,12.64764786,0.23676176919882055
Non-programme,AUS,Australia,PCV3,2008,91,PCV,49811.20672,8.24737453,21249199,42510,0,1.3823898003559114,1,19.04162598,0.26322949536944135
MENA,BHR,Bahrain,PCV3,2008,14,PCV,23299.49928,3.07321215,1103496,21070,0,3.228203960846802,1,27.9108448,0.9010189973394036
Non-programme,CAN,Canada,PCV3,2008,42,PCV,46710.25269,9.59427929,33247298,44930,0,1.3837138797223811,1,15.50515175,0.21454693683676765
Non-programme,DEU,Germany,PCV3,2008,68,PCV,46379.1648,10.03185749,82110097,44360,0,1.3040107735751743,1,13.46302605,0.17555931014123222
Non-programme,ITA,Italy,PCV3,2008,60,PCV,40828.57956,8.50157547,59211181,37870,0,0.968475191,1,21.33932495,0.20666606808735907
MENA,KWT,Kuwait,PCV3,2008,99,PCV,55585.18893,1.92400301,2651421,51800,0,3.508299244854993,1,19.80873489,0.6949496965611975
Non-programme,LUX,Luxembourg,PCV3,2008,86,PCV,120422.1379,6.23101091,488650,86000,0,0.6898494322645855,1,10.06149197,0.069409145
LACR,MEX,Mexico,PCV3,2008,14,PCV,10523.76854,5.44587374,110374288,10260,0,1.1155175973927363,1,48.59585571,0.5420953220486329
Non-programme,NOR,Norway,PCV3,2008,86,PCV,97503.54078,7.91507673,4768212,87850,0,0.40411389256736896,1,15.65692139,0.063271794
EAPR,PLW,Palau,PCV3,2008,7,PCV,10577.50191,8.41378212,19009,10000,0,5.287822878228782,1,19.40317154,1.026005343794096
Non-programme,SWE,Sweden,PCV3,2008,60,PCV,55817.17597,8.22603607,9219637,55370,0,0.8923799087851905,1,16.4745636,0.14701569562643818
Non-programme,CHE,Switzerland,PCV3,2008,13,PCV,74175.19279,9.53167725,7647675,64870,0,0.38661081170637485,1,26.49785995,0.10244359143751341
Non-programme,USA,United States,PCV3,2008,93,PCV,48570.04598,15.20723629,304093966,49110,0,1.8719826154206398,1,13.35935974,0.250084892
ECAR,ALB,Albania,ROTAC,2023,97,Rotavirus,9730.869219,7.05240345,2414095,8730,0,0.5149545459940653,1,48.27462769,0.24859238985136486
LACR,ARG,Argentina,ROTAC,2023,68,Rotavirus,14261.84657,10.2695179,45538401,12920,0,7.117608794412783,1,24.46961784,1.7416516713390393
ECAR,ARM,Armenia,ROTAC,2023,93,Rotavirus,8159.08721,9.32119179,2964300,6850,0,3.2094787374520153,1,80.47196198,2.5827305093585697
Non-programme,AUS,Australia,ROTAC,2023,87,Rotavirus,65058.37731,10.39852047,26659922,63320,0,1.3823898003559114,1,15.84897614,0.21909462962020204
Non-programme,AUT,Austria,ROTAC,2023,61,Rotavirus,56579.50418,11.15297318,9131761,55890,0,0.8924562846281263,1,16.47774124,0.14705663726114054
MENA,BHR,Bahrain,ROTAC,2023,98,Rotavirus,29290.12842,3.99562383,1577059,28460,0,3.228203960846802,1,28.65578461,0.9250671737917483
Non-programme,BEL,Belgium,ROTAC,2023,86,Rotavirus,55291.47545,10.80371571,11779946,55520,0,1.1405311481580527,1,21.50983047,0.24532631642634167
LACR,BOL,Bolivia (Plurinational State of),ROTAC,2023,70,Rotavirus,4274.708205,6.91864729,12244159,4230,0,5.380005322592263,1,27.31554413,1.4695777280890383
ESAR,BWA,Botswana,ROTAC,2023,52,Rotavirus,7826.353765,6.25574684,2480244,8360,0,3.8792194485895006,1,4.25866175,0.16520283485564197
LACR,BRA,Brazil,ROTAC,2023,84,Rotavirus,10377.58977,9.73092747,211140729,9310,0,7.454407886511722,1,26.23070717,1.9553439039682754
ECAR,BGR,Bulgaria,ROTAC,2023,49,Rotavirus,15853.20864,7.91853094,6446596,14240,0,0.6288785598641349,1,35.50430679,0.22327897323069623
WCAR,CMR,Cameroon,ROTAC,2023,72,Rotavirus,1720.475102,4.5545516,28372687,1680,0,12.820811028964725,1,67.65119171,8.673431448
Non-programme,CAN,Canada,ROTAC,2023,87,Rotavirus,54220.3285,11.18692875,40083484,54660,0,1.3837138797223811,1,15.20306873,0.21036697216074313
LACR,COL,Colombia,ROTAC,2023,86,Rotavirus,7000.836605,8.15838146,52321152,6720,0,2.5815432011114234,1,14.63377953,0.3777773405223502
LACR,CRI,Costa Rica,ROTAC,2023,94,Rotavirus,16942.02681,6.8663702,5105525,14260,0,1.4924207518341044,1,24.12618256,0.36006415515082063
LACR,DOM,Dominican Republic,ROTAC,2023,89,Rotavirus,10630.43174,4.59880495,11331265,9700,0,3.425993573254095,1,25.05566978,0.8584056363985684
LACR,ECU,Ecuador,ROTAC,2023,73,Rotavirus,6737.847484,7.56167889,17980083,6590,0,3.0408379343080245,1,30.88848877,0.9392688838526341
LACR,SLV,El Salvador,ROTAC,2023,98,Rotavirus,5365.444914,9.28738594,6309624,4950,0,1.9188670545408162,1,32.4943924,0.6235241903368148
Non-programme,EST,Estonia,ROTAC,2023,77,Rotavirus,30264.00649,7.47082138,1370286,27650,0,1.017230875704384,1,22.09991646,0.2248071737359953
EAPR,FJI,Fiji,ROTAC,2023,96,Rotavirus,5926.205864,3.61524153,924145,5670,0,9.516107053,1,8.31420898,0.7911890271125759
Non-programme,FIN,Finland,ROTAC,2023,85,Rotavirus,52834.29168,10.47389507,5583911,52990,0,1.011772810114535,1,14.09493542,0.14260872418276294
ECAR,GEO,Georgia,ROTAC,2023,74,Rotavirus,8283.669607,6.85758877,3715483,6710,0,0.26565180102915953,1,58.75926208,0.15609503798696397
Non-programme,DEU,Germany,ROTAC,2023,69,Rotavirus,54776.76682,11.74428654,83287273,55420,0,1.3040107735751743,1,11.05290699,0.1441310979428435
WCAR,GHA,Ghana,ROTAC,2023,64,Rotavirus,2383.904105,2.94686937,33787914,2280,0,9.492825716042683,1,26.67723274,2.5324232098712782
ECAR,GRC,Greece,ROTAC,2023,20,Rotavirus,23343.7104,8.39367008,10407351,22300,0,0.5959241851638557,1,34.30307007,0.20442029080083393
LACR,GTM,Guatemala,ROTAC,2023,91,Rotavirus,5758.327608,6.80241346,18124838,5470,0,1.4859069573893653,1,57.18184662,0.8496690372902956
LACR,HND,Honduras,ROTAC,2023,73,Rotavirus,3227.457625,7.70976162,10644851,2880,0,2.4146742787941387,1,53.06166458,1.281266367
ROSA,IND,India,ROTAC,2023,90,Rotavirus,2530.120313,3.33944035,1438069596,2580,0,7.114921873,1,43.88510513,3.1223909440084787
EAPR,IDN,Indonesia,ROTAC,2023,11,Rotavirus,4876.307745,2.70239949,281190067,4810,0,3.2478870021218937,1,31.0836544,1.009561971
Non-programme,IRL,Ireland,ROTAC,2023,87,Rotavirus,106818.9171,6.57538509,5311538,79280,0,1.2538745506076112,1,11.29947281,0.14168121391741673
Non-programme,ISR,Israel,ROTAC,2023,80,Rotavirus,52003.72007,7.09822369,9849000,54280,0,0.4376836725353078,1,20.48583984,0.089663176
Non-programme,ITA,Italy,ROTAC,2023,71,Rotavirus,39277.08388,8.40559483,58984216,38770,0,0.968475191,1,23.64643097,0.22900981752326033
Non-programme,JPN,Japan,ROTAC,2023,95,Rotavirus,33836.17563,10.73979473,124516650,39360,0,1.5241726389126138,1,12.23568153,0.18649291006474428
MENA,JOR,Jordan,ROTAC,2023,96,Rotavirus,4466.083142,7.66000605,11439213,4450,0,1.0789958961230997,1,34.4679451,0.3719077131069631
EAPR,KIR,Kiribati,ROTAC,2023,92,Rotavirus,2177.701258,10.94525623,132530,3800,0,17.266679606864276,1,2.9085722,0.5022138429083236
MENA,KWT,Kuwait,ROTAC,2023,88,Rotavirus,34075.84901,4.96311998,4853420,42030,0,3.508299244854993,1,10.00349617,0.35095258059120815
ECAR,KGZ,Kyrgyzstan,ROTAC,2023,87,Rotavirus,2138.222102,4.50344467,7099750,1840,0,3.8334887863980267,1,42.26472855,1.6202136295658152
Non-programme,LVA,Latvia,ROTAC,2023,86,Rotavirus,22710.26375,7.27783823,1883710,21000,0,0.6383164945819219,1,35.05759811,0.22377843134037007
MENA,LBN,Lebanon,ROTAC,2023,40,Rotavirus,3477.724898,5.57497263,5773493,3700,0,2.5837080689205423,1,29.70126343,0.7673939398122562
Non-programme,LTU,Lithuania,ROTAC,2023,74,Rotavirus,27786.00578,7.31801939,2871585,25460,0,0.6177633936923964,1,31.02016449,0.19163122088238765
Non-programme,LUX,Luxembourg,ROTAC,2023,89,Rotavirus,133230.6192,5.78777981,666430,88480,0,0.6898494322645855,1,8.77390862,0.060526759
WCAR,MRT,Mauritania,ROTAC,2023,91,Rotavirus,2135.781876,4.34333467,5022441,2140,0,7.777472537087911,1,43.7736702,3.4044851782804346
Non-programme,MUS,Mauritius,ROTAC,2023,65,Rotavirus,11269.96845,5.56544495,1248647,12570,0,1.168068342938412,1,45.2427063,0.5284657297789025
LACR,MEX,Mexico,ROTAC,2023,80,Rotavirus,13860.95978,5.50398684,129739759,12020,0,1.1155175973927363,1,41.23572922,0.4599918158623186
MENA,MAR,Morocco,ROTAC,2023,93,Rotavirus,3813.726074,6.06396198,37712505,3780,0,1.748697530169071,1,37.25432968,0.6514655429952032
ESAR,NAM,Namibia,ROTAC,2023,87,Rotavirus,4187.605004,9.48251629,2963095,4290,0,3.706948585892239,1,7.49171019,0.2777138449473498
Non-programme,NZL,New Zealand,ROTAC,2023,83,Rotavirus,49075.95628,10.12947655,5200000,49020,0,0.7459302352315851,1,12.5954752,0.093953458
WCAR,NGA,Nigeria,ROTAC,2023,53,Rotavirus,2138.763837,4.19086456,227882945,2590,0,7.6374550824730445,1,71.90481567,5.491697998931289
ECAR,MKD,North Macedonia,ROTAC,2023,68,Rotavirus,8674.358463,7.42730284,1827816,7940,0,2.7015864512832617,1,39.57205582,1.0690732985273694
Non-programme,NOR,Norway,ROTAC,2023,95,Rotavirus,87497.21796,9.42925453,5519601,101640,0,0.40411389256736896,1,13.68724823,0.055312071607611306
EAPR,PLW,Palau,ROTAC,2023,31,Rotavirus,15610.82319,10.85468197,17727,14780,0,5.287822878228782,1,12.10223293,0.6399446416490775
LACR,PAN,Panama,ROTAC,2023,85,Rotavirus,18797.1934,8.33022976,4458759,17920,0,3.584166503,1,40.45503235,1.4499757184566524
LACR,PRY,Paraguay,ROTAC,2023,76,Rotavirus,6299.990265,8.35731316,6844146,6210,0,5.742141281589007,1,36.32289886,2.085712170109883
LACR,PER,Peru,ROTAC,2023,87,Rotavirus,7887.541859,5.63786411,33845617,7080,0,1.9638398002441793,1,26.98286247,0.5299001924310096
Non-programme,POL,Poland,ROTAC,2023,88,Rotavirus,22145.26606,7.13848782,36687353,19890,0,1.1700902346512216,1,15.84634209,0.1854165013445163
MENA,QAT,Qatar,ROTAC,2023,96,Rotavirus,81816.9798,2.52358818,2656032,80200,0,3.2440711091739014,1,7.42945814,0.2410169050879087
ECAR,MDA,Republic of Moldova,ROTAC,2023,69,Rotavirus,6799.585946,6.7359705,2457783,6250,0,3.2498532542372884,1,27.468853,0.892697413
EAPR,WSM,Samoa,ROTAC,2023,85,Rotavirus,4822.740847,6.78103304,216663,4800,0,9.812004530011325,1,13.41968632,1.3167402296317101
MENA,SAU,Saudi Arabia,ROTAC,2023,97,Rotavirus,36156.84834,5.68722248,33702731,36330,0,3.758285461776403,1,14.11603928,0.5305210520388866
WCAR,SEN,Senegal,ROTAC,2023,83,Rotavirus,1698.033873,4.32314825,18077573,1630,0,9.741119996876085,1,44.32556534,4.317806509063114
EAPR,SLB,Solomon Islands,ROTAC,2023,81,Rotavirus,1882.643941,5.36366177,800005,1980,0,7.460950251741294,1,3.16049337,0.23580283804528193
ESAR,ZAF,South Africa,ROTAC,2023,78,Rotavirus,6034.27209,8.90966797,63212384,6490,0,1.7702496479454375,1,6.69263172,0.11847628946158467
Non-programme,ESP,Spain,ROTAC,2023,66,Rotavirus,33493.22254,9.2206583,48352528,32980,0,1.171998627,1,20.85539818,0.2444249803876535
MENA,PSE,State of Palestine,ROTAC,2023,83,Rotavirus,3455.028529,10.73343945,5165775,4310,0,1.1817139008324662,1,42.07169342,0.49716704945975804
Non-programme,SWE,Sweden,ROTAC,2023,84,Rotavirus,54950.28347,11.152915,10536632,60300,0,0.8923799087851905,1,12.95748615,0.11563000308622368
EAPR,THA,Thailand,ROTAC,2023,75,Rotavirus,7195.101309,4.53787661,71702435,7190,0,2.9017230343527225,1,9.93404865,0.28825857792085563
MENA,ARE,United Arab Emirates,ROTAC,2023,91,Rotavirus,49850.68722,4.97095108,10483751,51100,0,3.882396427,1,9.66616821,0.37527896921929815
Non-programme,GBR,United Kingdom,ROTAC,2023,90,Rotavirus,49944.47021,10.99128914,68492000,48830,0,1.2518664641090063,1,14.6293354,0.18313974379462714
Non-programme,USA,United States,ROTAC,2023,77,Rotavirus,81032.26212,16.69414902,336806231,80000,0,1.8719826154206398,1,10.92723846,0.20455600431675805
ESAR,ZWE,Zimbabwe,ROTAC,2023,55,Rotavirus,2195.224921,2.92601609,16340822,2550,0,7.179413537919545,1,10.63479233,0.7635157202696493
ECAR,ALB,Albania,ROTAC,2022,97,Rotavirus,7756.961887,7.53646231,2451636,7720,0,0.5149545459940653,1,48.33619308,0.2489094236259288
LACR,ARG,Argentina,ROTAC,2022,80,Rotavirus,13962.18941,10.15950489,45407904,11890,0,7.117608794412783,1,25.21296501,1.7945602148839779
ECAR,ARM,Armenia,ROTAC,2022,92,Rotavirus,6571.974455,9.96211243,2969200,5690,0,3.2094787374520153,1,79.0908432,2.538403795775513
Non-programme,AUS,Australia,ROTAC,2022,88,Rotavirus,65169.51911,9.89226055,26018721,60790,0,1.3823898003559114,1,15.13268661,0.20919271621646474
Non-programme,AUT,Austria,ROTAC,2022,61,Rotavirus,52336.77252,11.22519779,9041851,56310,0,0.8924562846281263,1,16.29116058,0.1453914864350699
MENA,BHR,Bahrain,ROTAC,2022,95,Rotavirus,30470.52193,3.89098358,1524693,28300,0,3.228203960846802,1,27.89371109,0.9004658862345437
Non-programme,BEL,Belgium,ROTAC,2022,86,Rotavirus,50605.74967,10.73976326,11680210,54330,0,1.1405311481580527,1,21.40806961,0.24416570212140812
LACR,BOL,Bolivia (Plurinational State of),ROTAC,2022,71,Rotavirus,4219.461137,7.15933084,12077154,4190,0,5.380005322592263,1,25.75580215,1.3856635265463324
ESAR,BWA,Botswana,ROTAC,2022,65,Rotavirus,8328.709057,5.73650789,2439892,8250,0,3.8792194485895006,1,4.39190388,0.1703715894763169
LACR,BRA,Brazil,ROTAC,2022,77,Rotavirus,9281.332821,9.38739491,210306415,8440,0,7.454407886511722,1,27.25102234,2.031402358468031
ECAR,BGR,Bulgaria,ROTAC,2022,48,Rotavirus,13999.19495,7.63849449,6465097,13100,0,0.6288785598641349,1,35.07592392,0.2205849652071356
WCAR,CMR,Cameroon,ROTAC,2022,66,Rotavirus,1604.87727,4.49439144,27632771,1660,0,12.820811028964725,1,67.75390625,8.686600285
Non-programme,CAN,Canada,ROTAC,2022,87,Rotavirus,56256.80073,11.08119678,38935934,53850,0,1.3837138797223811,1,14.96067905,0.20701299251556848
LACR,COL,Colombia,ROTAC,2022,85,Rotavirus,6680.445069,7.59037256,51737944,6560,0,2.5815432011114234,1,14.37380219,0.3710659131771499
LACR,CRI,Costa Rica,ROTAC,2022,89,Rotavirus,13625.90085,7.18368196,5081765,13210,0,1.4924207518341044,1,22.43504333,0.3348252423398931
LACR,DOM,Dominican Republic,ROTAC,2022,86,Rotavirus,10104.24493,4.64506817,11230734,9150,0,3.425993573254095,1,25.02239418,0.8572656164811066
LACR,ECU,Ecuador,ROTAC,2022,73,Rotavirus,6515.585284,7.60183907,17823897,6550,0,3.0408379343080245,1,30.66458321,0.9324602786471293
LACR,SLV,El Salvador,ROTAC,2022,96,Rotavirus,5074.602102,9.82036304,6280319,4710,0,1.9188670545408162,1,31.0983448,0.5967358928747071
Non-programme,EST,Estonia,ROTAC,2022,80,Rotavirus,28340.38265,6.93641424,1348840,27580,0,1.017230875704384,1,23.14229393,0.23541055920222148
EAPR,FJI,Fiji,ROTAC,2022,97,Rotavirus,5414.120921,4.01752949,919422,5250,0,9.516107053,1,7.99897051,0.7611905968364395
Non-programme,FIN,Finland,ROTAC,2022,85,Rotavirus,50440.56022,9.74152565,5556106,54120,0,1.011772810114535,1,16.0982132,0.162877344
ECAR,GEO,Georgia,ROTAC,2022,72,Rotavirus,6729.846599,8.29634285,3712502,5690,0,0.26565180102915953,1,57.18254471,0.1519064598964194
Non-programme,DEU,Germany,ROTAC,2022,69,Rotavirus,50506.51796,12.44708347,83177813,55200,0,1.3040107735751743,1,10.43201256,0.13603456768311534
WCAR,GHA,Ghana,ROTAC,2022,94,Rotavirus,2229.891226,3.67459154,33149152,2400,0,9.492825716042683,1,25.03213501,2.3762569495038037
ECAR,GRC,Greece,ROTAC,2022,20,Rotavirus,20886.52431,8.44938278,10436882,21980,0,0.5959241851638557,1,33.53891373,0.19986649835831102
LACR,GTM,Guatemala,ROTAC,2022,82,Rotavirus,5358.70157,7.1678791,17847877,5220,0,1.4859069573893653,1,60.21094131,0.8946785660349176
LACR,HND,Honduras,ROTAC,2022,80,Rotavirus,3003.289968,8.15452766,10463872,2700,0,2.4146742787941387,1,52.33385086,1.263692035818905
ROSA,IND,India,ROTAC,2022,92,Rotavirus,2347.448294,3.39623499,1425423212,2390,0,7.114921873,1,44.54133987,3.169081533064834
Non-programme,IRL,Ireland,ROTAC,2022,88,Rotavirus,105190.686,6.02078247,5212836,75970,0,1.2538745506076112,1,11.55095387,0.144834471
Non-programme,ISR,Israel,ROTAC,2022,80,Rotavirus,54949.62156,7.12004995,9557500,55450,0,0.4376836725353078,1,24.68896103,0.10805955134691496
Non-programme,ITA,Italy,ROTAC,2022,74,Rotavirus,35653.90421,8.85022926,59013667,39060,0,0.968475191,1,23.32074165,0.22585559725902246
Non-programme,JPN,Japan,ROTAC,2022,37,Rotavirus,34065.6439,12.32275677,125124989,42640,0,1.5241726389126138,1,11.1480875,0.16991609943703725
MENA,JOR,Jordan,ROTAC,2022,92,Rotavirus,4332.251599,7.73623276,11256263,4380,0,1.0789958961230997,1,35.92578506,0.3876377464474057
EAPR,KIR,Kiribati,ROTAC,2022,94,Rotavirus,2069.767173,10.52553844,130469,3610,0,17.266679606864276,1,0.78772789,0.13601445094021225
MENA,KWT,Kuwait,ROTAC,2022,86,Rotavirus,39981.7691,4.20024538,4589643,39120,0,3.508299244854993,1,10.7516222,0.37719908045226175
Non-programme,LVA,Latvia,ROTAC,2022,86,Rotavirus,20221.10369,8.1044302,1879383,20630,0,0.6383164945819219,1,30.74036026,0.19622079003348616
Non-programme,LTU,Lithuania,ROTAC,2022,49,Rotavirus,25085.78406,7.24367952,2831639,23760,0,0.6177633936923964,1,31.80231094,0.19646303533555226
Non-programme,LUX,Luxembourg,ROTAC,2022,89,Rotavirus,123719.6589,5.60926914,653103,84190,0,0.6898494322645855,1,8.66778374,0.059794657
WCAR,MRT,Mauritania,ROTAC,2022,85,Rotavirus,1960.352401,4.66962671,4875637,2010,0,7.777472537087911,1,41.71480179,3.244357253117907
Non-programme,MUS,Mauritius,ROTAC,2022,89,Rotavirus,10246.50175,5.84209728,1262523,11830,0,1.168068342938412,1,44.01314926,0.5141036632362919
LACR,MEX,Mexico,ROTAC,2022,84,Rotavirus,11405.79405,5.70919704,128613117,10730,0,1.1155175973927363,1,39.08966446,0.4360520858130743
MENA,MAR,Morocco,ROTAC,2022,94,Rotavirus,3463.137695,5.75281,37329064,3700,0,1.748697530169071,1,40.54432678,0.7089976410255372
ESAR,NAM,Namibia,ROTAC,2022,55,Rotavirus,4349.799085,9.6219883,2889662,4280,0,3.706948585892239,1,7.54870033,0.27982644013617775
Non-programme,NZL,New Zealand,ROTAC,2022,87,Rotavirus,49099.70904,10.56814575,5081700,49160,0,0.7459302352315851,1,11.92626286,0.088961601
WCAR,NGA,Nigeria,ROTAC,2022,18,Rotavirus,2899.160475,4.21020174,223150896,2930,0,7.6374550824730445,1,75.73786163,5.784445162416837
ECAR,MKD,North Macedonia,ROTAC,2022,67,Rotavirus,7606.237525,7.42164755,1831712,7570,0,2.7015864512832617,1,40.21560669,1.086459381638405
Non-programme,NOR,Norway,ROTAC,2022,95,Rotavirus,109269.5206,7.90873051,5457127,94290,0,0.40411389256736896,1,14.07542992,0.056880768
EAPR,PLW,Palau,ROTAC,2022,83,Rotavirus,13729.76028,14.87842083,17759,14100,0,5.287822878228782,1,16.31507874,0.8627124662147603
LACR,PAN,Panama,ROTAC,2022,86,Rotavirus,17378.607,9.04578876,4400773,17020,0,3.584166503,1,40.87336731,1.4649695399652771
LACR,PRY,Paraguay,ROTAC,2022,78,Rotavirus,6205.625954,7.73537827,6760464,5930,0,5.742141281589007,1,38.92329788,2.235030755723339
LACR,PER,Peru,ROTAC,2022,84,Rotavirus,7350.630343,6.0974617,33475438,6920,0,1.9638398002441793,1,27.03717041,0.5309667133714224
Non-programme,POL,Poland,ROTAC,2022,87,Rotavirus,18891.21212,6.46619797,36821749,19110,0,1.1700902346512216,1,18.43494606,0.21570550361128016
MENA,QAT,Qatar,ROTAC,2022,95,Rotavirus,88701.46898,2.18613315,2657333,71050,0,3.2440711091739014,1,7.7333827,0.2508764339325526
ECAR,MDA,Republic of Moldova,ROTAC,2022,61,Rotavirus,5744.296184,6.96505404,2528654,5540,0,3.2498532542372884,1,31.71020699,1.030535193789895
EAPR,WSM,Samoa,ROTAC,2022,69,Rotavirus,4132.447177,6.93412352,215261,4130,0,9.812004530011325,1,13.23700809,1.2988158334287656
MENA,SAU,Saudi Arabia,ROTAC,2022,97,Rotavirus,38510.22762,5.31400585,32175224,35110,0,3.758285461776403,1,12.78343868,0.4804381174255413
WCAR,SEN,Senegal,ROTAC,2022,68,Rotavirus,1574.028106,4.0444808,17651103,1600,0,9.741119996876085,1,47.20918655,4.598703511384585
EAPR,SLB,Solomon Islands,ROTAC,2022,80,Rotavirus,1877.781045,4.82418394,781066,2010,0,7.460950251741294,1,3.71694756,0.27731960833491187
ESAR,ZAF,South Africa,ROTAC,2022,83,Rotavirus,6534.248678,8.74512291,62378410,6530,0,1.7702496479454375,1,6.71828651,0.11893044329124082
MENA,PSE,State of Palestine,ROTAC,2022,93,Rotavirus,3799.95527,9.70613861,5043612,4720,0,1.1817139008324662,1,33.55230331,0.3964922322637417
Non-programme,SWE,Sweden,ROTAC,2022,82,Rotavirus,54836.89072,10.85505676,10486941,61920,0,0.8923799087851905,1,13.12999439,0.11716943196098263
EAPR,THA,Thailand,ROTAC,2022,75,Rotavirus,6909.352818,5.35471153,71735329,7210,0,2.9017230343527225,1,9.21155357,0.2672937717624305
